"sku;""manufacturer"";""description"";""date_modified"";""quantity"";""price"";""alt_sku"";""picture"""
"CL221192;""CLARK"";""SEAL – OIL"";""0000-00-00 00:00:00"";""1"";""2"";;"
"CL225957;""CLARK"";""SEAL – OIL"";""0000-00-00 00:00:00"";""2"";""2"";;"
"CL227042;""CLARK"";""SPRING"";""0000-00-00 00:00:00"";""1"";""0"";;"
"CL2311326;""CLARK"";""SEAL - THERMOSTAT"";""0000-00-00 00:00:00"";""1"";""4"";;"
"CL233778;""CLARK"";""SWITCH - NEUTRAL"";""0000-00-00 00:00:00"";""1"";""12"";;"
"CL235593;""CLARK"";""SEAL"";""0000-00-00 00:00:00"";""1"";""8"";;"
"CL2359625;""CLARK"";""ROLLER"";""0000-00-00 00:00:00"";""2"";""18"";;"
"CL236629;""CLARK"";""SEAL – OIL"";""0000-00-00 00:00:00"";""1"";""6"";;"
"CL2373789;""CLARK"";""FILTER - AIR"";""0000-00-00 00:00:00"";""4"";""4"";;"
"CL2390954;""CLARK"";""PIN"";""0000-00-00 00:00:00"";""1"";""13"";;"
"CL2391752;""CLARK"";""CABLE - PARKING BRAKE RH"";""0000-00-00 00:00:00"";""1"";""19"";;"
"CL2396496;""CLARK"";""HOLD DOWN - BATTERY"";""0000-00-00 00:00:00"";""1"";""4"";;"
"CL23E000006;""CLARK"";""WASHER - LOCK 3/8"";""2010-11-30 09:38:24"";""6"";""0"";""EL185-4040"";"
"CL240164;""CLARK"";""SEAL – OIL"";""2010-11-30 09:38:24"";""1"";""2"";""CL221192"";"
"CL245135;""CLARK"";""SEAL – OIL"";""2010-11-30 09:38:24"";""1"";""15"";""CL2786180"";"
"CL246262;""CLARK"";""FILTER - TRANSMISSION"";""2010-11-30 09:38:24"";""2"";""13"";""CL247050"";"
"CL25K040216;""CLARK"";""O-RING"";""2010-11-30 09:38:24"";""1"";""0"";""MI2-230N674-70"";"
"CL25K30018;""CLARK"";""O-RING"";""2010-11-30 09:38:24"";""1"";""0"";""MI2-113N674-70"";"
"CL25K40708;""CLARK"";""O-RING"";""2010-11-30 09:38:24"";""1"";""0"";""MI2-263N674-70"";"
"CL2799254;""CLARK"";""LINK"";""2010-11-30 09:38:24"";""2"";""29"";""CL2772638"";"
"CL2803519;""CLARK"";""SWITCH"";""2010-11-30 09:38:24"";""1"";""11"";""CL2803519MR"";"
"CL3049478;""CLARK"";""SHOE SET - BRAKE PUCK (4)"";""2010-11-30 09:38:24"";""1"";""15"";""CL1811333"";"
"CL316861;""CLARK"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CL3779914;""CLARK"";""CAP - DISTRIBUTOR"";""2010-11-30 09:38:24"";""4"";""3"";""CL909351"";"
"cl3798229;""CLARK"";""PLATE"";""2010-12-03 10:20:40"";""1"";""3"";""NULL"";"
"CL601770;""CLARK"";""CUP - CYLINDER WEAR"";""2010-11-30 09:38:24"";""1"";""54"";""CL6017707"";"
"CL604370;""CLARK"";""CUP"";""0000-00-00 00:00:00"";""2"";""20"";;"
"CL62D500007;""CLARK"";;""0000-00-00 00:00:00"";""8"";""0"";;"
